NO.,Continent,Country,Launch_Site_name,Launch_site_link,Latitude,Longitude,Opearating_years,Operating_status
0,Africa,French Algeria,Centre interarmées d'essais d'engins spéciaux (CIEES),https://en.wikipedia.org/wiki/Centre_interarm%C3%A9es_d%27essais_d%27engins_sp%C3%A9ciaux,31.09951,-2.83581,1947-1967,FALSE
1,Africa,Algeria,Reggane,https://en.wikipedia.org/wiki/Reggane,26.71895,0.27691,1961-1965,FALSE
2,Africa,Zaire,Shaba North,https://en.wikipedia.org/wiki/Shaba_North,-7.92587,28.52766,1975-1979,FALSE
3,Africa,Egypt,Jabal Hamzah ballistic missile test and launch facility,https://en.wikipedia.org/wiki/Jabal_Hamzah_ballistic_missile_test_and_launch_facility,30.12575,30.605139,1962-1973,FALSE
4,Africa,Kenya,Broglio Space Centre (San Marco),https://en.wikipedia.org/wiki/Broglio_Space_Centre,-2.9408,40.2134,1964-1988,FALSE
5,Africa,Libya,Sabha,"https://en.wikipedia.org/wiki/Sabha,_Libya",26.99392,14.46425,1981-1987,FALSE
6,Africa,Mauritania,Nouadhibou,https://en.wikipedia.org/wiki/Nouadhibou,20.92856,-17.03153,1973-1973,FALSE
7,Africa,South Africa,Overberg South African Test Centre,https://en.wikipedia.org/wiki/Overberg_Test_Range,-34.60265,20.30248,"1986-1993, 2000s-",TRUE
8,Asia,China,Base 603,https://en.wikipedia.org/wiki/Base_603,30.93743,119.20575,1960-1966,FALSE
9,Asia,China,Jiuquan Satellite Launch Center,https://en.wikipedia.org/wiki/Jiuquan_Satellite_Launch_Center,40.96056,100.29833,1970-,TRUE
10,Asia,China,Taiyuan Satellite Launch Center,https://en.wikipedia.org/wiki/Taiyuan_Satellite_Launch_Center,38.8490861,111.6084972,1980-,TRUE
11,Asia,China,Xichang Satellite Launch Center,https://en.wikipedia.org/wiki/Xichang_Satellite_Launch_Center,28.24646,102.02814,1984-,TRUE
12,Asia,China,Wenchang Satellite Launch Center,https://en.wikipedia.org/wiki/Wenchang_Satellite_Launch_Center,19.6144917,110.9511333,2016-,TRUE
13,Asia,India,"Dr.Abdul Kalam Island, Bhadrak, Odisha",https://en.wikipedia.org/wiki/Abdul_Kalam_Island,20.75804,87.085533,,TRUE
14,Asia,India,Vikram Sarabhai Space Centre,https://en.wikipedia.org/wiki/Vikram_Sarabhai_Space_Centre,8.5314,76.869,1962-,TRUE
15,Asia,India,Satish Dhawan Space Centre (Sriharikota),https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre,13.7374,80.2351,1971-,TRUE
16,Asia,Indonesia,LAPAN Rocket Launcher Station,https://en.wikipedia.org/wiki/Stasiun_Peluncuran_Roket,-7.646643,107.689018,1965-,TRUE
17,Asia,Iran,Qom Space Center,https://en.wikipedia.org/wiki/Qom_Space_Center,34.65,50.9,1991,FALSE
18,Asia,Iran,Emamshahr,https://en.wikipedia.org/wiki/Emamshahr,36.42,55.02,1998,FALSE
19,Asia,Iran,Semnan spaceport,https://en.wikipedia.org/wiki/Semnan_spaceport,35.234631,53.920941,2009-,TRUE
20,Asia,Iraq,Al-Anbar Test Center,https://en.wikipedia.org/wiki/Al-Anbar,32.7822,44.29962,1989,FALSE
21,Asia,Israel,Palmachim Air Force Base,https://en.wikipedia.org/wiki/Palmachim_Airbase,31.88484,34.6802,1987-,TRUE
22,Asia,Japan,Akita Rocket Range,https://en.wikipedia.org/wiki/Akita_(Akita)#Akita_Rocket_Range,39.57148,140.05785,1956-1990,FALSE
23,Asia,Japan,Uchinoura Space Center,https://en.wikipedia.org/wiki/Uchinoura_Space_Center,31.25186,131.07914,1962-,TRUE
24,Asia,Japan,Taiki Aerospace Research Field,https://en.wikipedia.org/wiki/Taiki_Aerospace_Research_Field,42.3,143.2629,2010-,TRUE
25,Asia,Japan,Tanegashima Space Center,https://en.wikipedia.org/wiki/Tanegashima_Space_Center,30.39096,130.96813,1967-,TRUE
26,Asia,Japan,Ryori,https://en.wikipedia.org/wiki/Ryori,39.03,141.83,1970-2001,FALSE
